Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr
56,0.463,576.423,0.463,576.457,0.568,536.205,0.464,835.597,0.505,835.701,0.471,835.743
57,0.463,576.423,0.463,576.457,0.568,536.205,0.464,835.597,0.505,835.701,0.471,835.743
58,0.463,576.423,0.463,576.457,0.568,536.205,0.464,733.47,0.505,733.497,0.471,733.41
59,0.463,576.423,0.463,576.457,0.568,536.205,0.464,733.47,0.505,733.49,0.471,733.41
60,0.463,576.423,0.463,576.457,0.568,536.205,0.464,733.47,0.505,733.49,0.471,733.41
61,0.463,576.423,0.463,576.457,0.568,502.072,0.464,733.47,0.505,733.49,0.471,733.41
62,0.463,576.423,0.463,576.457,0.568,502.072,0.464,733.47,0.471,733.41,0.513,733.49
63,0.463,576.423,0.463,576.457,0.568,502.072,0.464,733.47,0.471,733.41,0.513,733.49
64,0.463,576.423,0.463,576.457,0.568,502.072,0.464,733.47,0.471,733.41,0.513,733.49
65,0.463,576.423,0.463,576.457,0.568,502.072,0.464,733.47,0.471,733.41,0.513,733.49
66,0.463,576.423,0.463,576.457,0.568,502.072,0.464,733.47,0.471,733.41,0.513,733.49
67,0.463,576.423,0.463,576.457,0.568,502.072,0.538,733.47,0.471,733.41,0.513,733.49
68,0.463,576.423,0.463,576.457,0.568,502.072,0.538,733.47,0.471,733.41,0.513,733.49
69,0.463,576.423,0.463,576.457,0.568,502.072,0.538,733.47,0.471,733.41,0.513,733.49
70,0.452,576.466,0.523,571.737,0.568,502.072,0.538,733.47,0.522,733.41,0.558,733.49
71,0.452,576.466,0.523,571.737,0.568,502.072,0.538,733.47,0.522,733.41,0.558,733.49
72,0.452,576.466,0.523,571.737,0.568,502.072,0.538,733.47,0.522,733.41,0.558,733.49
73,0.452,576.466,0.523,571.685,0.568,502.036,0.538,733.47,0.522,733.41,0.558,733.49
74,0.452,576.466,0.523,571.685,0.568,502.036,0.55,733.47,0.522,733.41,0.513,733.582
75,0.452,576.466,0.523,571.685,0.568,502.036,0.55,733.47,0.522,733.41,0.513,733.582
76,0.452,576.466,0.523,571.685,0.568,502.036,0.55,733.47,0.522,733.41,0.513,733.582
77,0.452,576.466,0.523,571.685,0.568,502.036,0.55,733.582,0.522,733.41,0.513,733.582
78,0.452,576.466,0.523,571.685,0.568,502.036,0.55,733.582,0.522,733.41,0.513,733.582
79,0.452,576.466,0.523,571.685,0.568,394.45,0.55,733.582,0.522,733.41,0.513,733.582
80,0.452,576.466,0.523,571.685,0.568,394.45,0.55,733.582,0.522,733.41,0.513,733.582
81,0.463,576.495,0.523,571.685,0.568,394.45,0.55,733.582,0.522,733.41,0.513,733.582
82,0.463,544.022,0.523,501.981,0.568,394.45,0.55,733.582,0.522,733.41,0.513,733.582
83,0.463,544.022,0.523,501.981,0.568,394.45,0.55,733.582,0.522,733.41,0.513,733.582
84,0.463,544.022,0.523,501.981,0.568,394.45,0.55,733.582,0.558,733.49,0.471,733.49
85,0.486,544.022,0.523,501.981,0.568,394.45,0.55,733.582,0.558,733.49,0.471,733.49
86,0.486,544.022,0.523,501.981,0.568,394.45,0.55,733.582,0.558,733.49,0.471,733.49
87,0.486,544.022,0.523,501.981,0.568,394.45,0.55,733.582,0.558,733.49,0.471,733.49
88,0.486,544.022,0.523,554.843,0.568,332.834,0.55,733.582,0.558,733.49,0.471,733.49
89,0.486,544.022,0.508,506.09,0.568,332.834,0.55,733.582,0.558,733.49,0.471,733.49
90,0.486,544.022,0.508,506.09,0.568,332.834,0.55,733.582,0.558,733.49,0.471,733.49
91,0.486,544.022,0.508,506.09,0.568,332.834,0.55,733.582,0.558,733.49,0.469,733.582
92,0.478,576.495,0.5,531.215,0.568,332.841,0.505,733.597,0.516,609.531,0.471,609.531
93,0.478,576.495,0.5,531.215,0.568,332.841,0.505,733.597,0.516,609.531,0.471,609.531
94,0.478,576.495,0.5,531.215,0.568,332.841,0.505,733.597,0.516,609.531,0.471,609.531
95,0.443,559.655,0.454,531.237,0.527,332.811,0.505,733.597,0.516,609.531,0.471,609.531
96,0.443,559.655,0.454,531.237,0.527,332.811,0.505,733.597,0.516,609.531,0.471,609.531
97,0.443,559.655,0.454,531.237,0.527,332.811,0.505,733.597,0.516,609.531,0.471,609.531
98,0.477,527.129,0.454,431.029,0.527,332.841,0.549,733.597,0.475,609.439,0.471,609.531
99,0.477,527.129,0.454,431.029,0.527,332.841,0.549,733.597,0.475,609.439,0.471,609.531
100,0.477,527.129,0.454,431.029,0.527,332.841,0.549,733.597,0.475,609.439,0.471,609.531
