Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr
36,0.601,192.96,0.565,192.894,0.603,190.411,0.6,181.396,0.603,181.437,0.603,181.437
37,0.601,192.96,0.553,192.918,0.603,190.411,0.6,181.396,0.603,181.437,0.597,181.437
38,0.587,192.96,0.593,190.412,0.603,190.358,0.61,181.378,0.597,181.437,0.597,181.437
39,0.615,190.481,0.593,190.412,0.603,190.358,0.61,181.378,0.597,181.437,0.597,181.437
40,0.605,190.463,0.584,190.421,0.612,190.358,0.61,181.378,0.597,181.437,0.597,181.437
41,0.605,190.463,0.584,190.411,0.591,190.358,0.601,181.378,0.597,181.437,0.597,181.437
42,0.584,190.421,0.584,190.411,0.591,190.358,0.601,181.378,0.597,181.437,0.595,181.574
43,0.584,190.421,0.584,190.411,0.591,190.358,0.601,181.378,0.601,181.564,0.595,181.695
44,0.584,190.421,0.591,190.411,0.591,190.358,0.601,181.378,0.601,181.564,0.595,181.695
45,0.584,190.421,0.591,190.411,0.591,190.358,0.601,181.378,0.601,181.39,0.595,181.551
46,0.584,190.421,0.591,190.411,0.591,190.358,0.601,181.378,0.601,181.39,0.595,181.551
47,0.584,190.421,0.591,190.411,0.591,190.358,0.601,181.378,0.601,181.39,0.596,181.551
48,0.572,190.421,0.572,190.411,0.591,186.926,0.601,181.378,0.601,181.39,0.596,181.37
49,0.572,190.421,0.572,190.411,0.591,186.926,0.601,181.378,0.597,181.39,0.596,181.37
50,0.584,190.358,0.572,190.411,0.571,186.978,0.586,181.378,0.597,181.39,0.596,181.37
51,0.572,190.421,0.572,190.411,0.571,186.978,0.586,181.378,0.597,181.39,0.596,181.37
52,0.572,190.421,0.571,186.978,0.571,186.978,0.586,181.378,0.597,181.39,0.596,181.37
53,0.572,190.421,0.571,186.978,0.571,186.978,0.583,181.339,0.597,181.39,0.596,181.382
54,0.572,190.421,0.571,186.978,0.571,186.463,0.583,181.339,0.597,181.39,0.596,181.382
55,0.572,190.421,0.571,186.978,0.571,186.463,0.583,181.339,0.597,181.39,0.596,181.382
56,0.572,190.421,0.571,186.978,0.571,186.463,0.583,181.339,0.597,181.39,0.596,181.382
57,0.572,190.421,0.571,186.978,0.571,186.463,0.583,181.339,0.597,181.39,0.596,181.382
58,0.572,190.421,0.571,186.978,0.571,186.463,0.583,181.339,0.597,181.39,0.596,181.382
59,0.572,190.421,0.571,186.978,0.571,186.463,0.583,181.339,0.597,181.39,0.596,181.382
60,0.572,190.421,0.571,186.978,0.571,186.463,0.583,181.339,0.597,181.39,0.593,181.382
61,0.572,190.421,0.571,186.978,0.571,186.463,0.583,181.339,0.597,179.746,0.593,179.726
62,0.572,190.421,0.571,186.978,0.571,186.463,0.583,181.339,0.597,179.746,0.593,179.189
63,0.572,190.421,0.571,186.978,0.571,186.463,0.583,181.339,0.597,179.746,0.593,179.189
64,0.572,190.421,0.571,186.978,0.571,186.463,0.583,179.12,0.603,178.271,0.596,177.408
65,0.572,190.421,0.571,186.978,0.571,186.463,0.601,178.131,0.603,178.131,0.603,177.552
66,0.572,190.421,0.571,186.954,0.571,186.439,0.601,178.131,0.603,178.131,0.603,177.552
67,0.572,190.421,0.571,186.954,0.571,186.439,0.601,178.131,0.603,178.131,0.603,177.552
68,0.572,190.421,0.571,186.954,0.571,186.439,0.601,178.131,0.603,178.131,0.603,177.552
69,0.572,190.421,0.571,186.954,0.585,186.439,0.601,178.131,0.603,178.131,0.603,177.552
70,0.572,190.421,0.571,186.954,0.585,186.439,0.601,178.131,0.603,178.131,0.603,177.552
71,0.572,190.447,0.571,186.954,0.601,186.439,0.601,178.131,0.603,178.131,0.608,176.462
72,0.572,190.447,0.571,186.954,0.601,186.439,0.601,178.131,0.603,178.131,0.608,176.462
73,0.572,190.447,0.571,186.954,0.585,186.439,0.601,178.131,0.603,178.131,0.608,176.462
74,0.572,190.447,0.585,186.954,0.601,186.114,0.601,178.131,0.603,178.131,0.608,176.462
75,0.572,190.447,0.585,186.954,0.601,186.114,0.601,178.131,0.603,178.131,0.608,176.462
76,0.572,190.447,0.584,186.954,0.601,186.27,0.601,178.131,0.597,178.131,0.603,176.467
77,0.584,190.593,0.601,186.954,0.601,186.27,0.601,178.131,0.597,178.131,0.603,176.467
78,0.584,190.593,0.601,186.954,0.601,186.27,0.587,178.131,0.597,178.131,0.603,176.467
79,0.584,190.593,0.601,186.954,0.601,186.27,0.587,178.131,0.597,178.131,0.603,176.467
80,0.584,190.593,0.601,186.954,0.593,186.387,0.587,178.131,0.597,178.131,0.603,176.467
81,0.584,190.593,0.601,186.954,0.593,186.387,0.587,178.131,0.597,178.131,0.603,176.467
82,0.584,187.16,0.601,186.954,0.593,186.387,0.587,178.131,0.597,178.131,0.603,176.467
83,0.584,187.16,0.601,186.954,0.593,186.387,0.587,178.131,0.597,178.131,0.603,176.467
84,0.584,187.16,0.601,186.954,0.593,185.202,0.587,178.131,0.597,178.131,0.603,176.467
85,0.584,187.16,0.601,187.109,0.593,185.144,0.587,178.131,0.597,178.131,0.603,176.467
86,0.584,187.16,0.601,187.109,0.593,185.144,0.593,177.364,0.603,177.364,0.603,176.467
87,0.584,187.16,0.601,187.109,0.593,185.144,0.593,177.364,0.603,177.364,0.603,176.467
88,0.584,187.16,0.601,187.109,0.593,185.144,0.593,177.364,0.603,177.364,0.603,176.467
89,0.584,187.16,0.601,187.059,0.593,185.119,0.593,177.364,0.603,177.364,0.603,176.467
90,0.584,187.16,0.601,187.059,0.593,185.119,0.593,177.364,0.603,177.364,0.603,176.467
91,0.584,187.16,0.601,187.059,0.593,185.119,0.593,177.364,0.61,177.407,0.596,176.344
92,0.6,187.16,0.601,187.059,0.593,185.119,0.593,177.364,0.61,177.407,0.596,176.344
93,0.6,187.16,0.601,187.059,0.593,185.119,0.593,177.364,0.61,177.407,0.596,176.344
94,0.6,187.16,0.601,187.059,0.593,185.119,0.593,177.364,0.61,177.407,0.596,176.344
95,0.6,187.16,0.601,187.059,0.593,185.119,0.593,177.364,0.61,177.407,0.596,176.344
96,0.6,187.16,0.601,187.059,0.593,185.119,0.593,177.364,0.61,177.407,0.596,176.344
97,0.6,187.16,0.601,187.059,0.593,185.119,0.593,177.364,0.61,177.407,0.596,176.344
98,0.597,186.114,0.593,185.117,0.593,185.119,0.593,177.364,0.61,177.407,0.596,176.344
99,0.597,186.114,0.593,185.117,0.593,185.119,0.593,177.364,0.61,177.407,0.596,176.344
100,0.597,186.114,0.593,185.117,0.593,185.119,0.593,177.364,0.61,177.407,0.596,176.344
